ID, NAME, FILE, LINE, ALTERNATIVE/LINK 
2,mysql_select_db,/home/jorge/Documents/w3af-moth/webroot/moth/w3af/audit/blind_sql_injection/completely_bsqli_double.php,|mysql_select_db("w3af_test", $link);|,mysqli_select_db()
8,mysql_(),/home/jorge/Documents/w3af-moth/webroot/moth/w3af/audit/sql_injection/select/sql_injection_no_results.php,|mysql_select_db ("w3af_test", $link);|,mysqli_()
8,mysql_(),/home/jorge/Documents/w3af-moth/webroot/moth/w3af/audit/sql_injection/select/sql_injection_string.php,|$result = mysql_query('SELECT * FROM users where email ="' . $_GET['email'] .'"', $link);|,mysqli_()
8,mysql_(),/home/jorge/Documents/w3af-moth/webroot/moth/w3af/core/wml_parser/form_sql_injection.php,|$link = mysql_connect("localhost", "root", "moth");|,mysqli_()
8,mysql_(),/home/jorge/Documents/w3af-moth/webroot/moth/w3af/audit/sql_injection/select/form_sql_injection.php,|$result = mysql_query("SELECT * FROM users where id =" . $_GET['id'] , $link);|,mysqli_()
2,mysql_select_db,/home/jorge/Documents/w3af-moth/webroot/moth/w3af/audit/sql_injection/recreate_tables.php,mysql_select_db('database');,mysqli_select_db()
8,mysql_(),/home/jorge/Documents/w3af-moth/webroot/moth/w3af/crawl/ajax/username-ajax.php,|$result = mysql_query("SELECT * FROM users where nombre='" . $_GET["nombre"] . "'", $link);|,mysqli_()
8,mysql_(),/home/jorge/Documents/w3af-moth/webroot/moth/w3af/audit/sql_injection/select/form_sql_injection.php,|mysql_select_db("w3af_test", $link);|,mysqli_()
8,mysql_(),/home/jorge/Documents/w3af-moth/webroot/moth/w3af/audit/sql_injection/select/sql_injection_table.php,|$link = mysql_connect("localhost", "root", "moth");|,mysqli_()
2,mysql_select_db,/home/jorge/Documents/w3af-moth/webroot/moth/w3af/audit/blind_sql_injection/bsqli_string.php,|mysql_select_db ("w3af_test", $link);|,mysqli_select_db()
8,mysql_(),/home/jorge/Documents/w3af-moth/webroot/moth/w3af/audit/sql_injection/select/form_sql_injection.php,|$link = mysql_connect("localhost", "root" , "moth");|,mysqli_()
8,mysql_(),/home/jorge/Documents/w3af-moth/webroot/moth/w3af/audit/sql_injection/select/sql_injection_integer.php,|mysql_select_db("w3af_test", $link);|,mysqli_()
8,mysql_(),/home/jorge/Documents/w3af-moth/webroot/moth/w3af/core/wml_parser/form_sql_injection.php,|mysql_select_db("w3af_test", $link);|,mysqli_()
8,mysql_(),/home/jorge/Documents/w3af-moth/webroot/moth/w3af/core/repeated_parameter_names/repeated_parameter_names.php,|$result = mysql_query("SELECT * FROM users where name ='" . $_POST['user'] ."'", $link);|,mysqli_()
8,mysql_(),/home/jorge/Documents/w3af-moth/webroot/moth/w3af/core/ajax/GetCustomerData.php,|mysql_select_db("w3af_test", $link);|,mysqli_()
8,mysql_(),/home/jorge/Documents/w3af-moth/webroot/moth/w3af/audit/sql_injection/select/sql_injection_no_results.php,|$result = mysql_query ("SELECT * FROM users where email ='".$_GET['email']."'", $link);|,mysqli_()
8,mysql_(),/home/jorge/Documents/w3af-moth/webroot/moth/w3af/audit/sql_injection/select/sql_injection_no_results.php,|$link = mysql_connect("localhost", "root", "moth");|,mysqli_()
8,mysql_(),/home/jorge/Documents/w3af-moth/webroot/moth/w3af/core/wml_parser/sql_injection_string.php,|$result = mysql_query("SELECT * FROM users WHERE nombre ='" . $_POST['firstname'] ."'", $link);|,mysqli_()
8,mysql_(),/home/jorge/Documents/w3af-moth/webroot/moth/w3af/core/wml_parser/sql_injection_string.php,|$link = mysql_connect("localhost", "root", "moth");|,mysqli_()
8,mysql_(),/home/jorge/Documents/w3af-moth/webroot/moth/w3af/crawl/ajax/username-ajax.php,|$link = mysql_connect("localhost", "root", "moth");|,mysqli_()
2,mysql_select_db,/home/jorge/Documents/w3af-moth/webroot/moth/w3af/audit/blind_sql_injection/bsqli_integer.php,|mysql_select_db("w3af_test", $link);|,mysqli_select_db()
2,mysql_select_db,/home/jorge/Documents/w3af-moth/webroot/moth/w3af/audit/blind_sql_injection/completely_bsqli_single.php,|mysql_select_db("w3af_test", $link);|,mysqli_select_db()
2,mysql_select_db,/home/jorge/Documents/w3af-moth/webroot/moth/w3af/audit/sql_injection/recreate_tables.php,|mysql_select_db("w3af_test", $link);|,mysqli_select_db()
8,mysql_(),/home/jorge/Documents/w3af-moth/webroot/moth/w3af/core/repeated_parameter_names/repeated_parameter_names.php,|mysql_select_db("w3af_test", $link);|,mysqli_()
8,mysql_(),/home/jorge/Documents/w3af-moth/webroot/moth/w3af/audit/sql_injection/select/sql_injection_table.php,|$result = mysql_query("SELECT * FROM users where id =" . $_GET['id'] , $link);|,mysqli_()
8,mysql_(),/home/jorge/Documents/w3af-moth/webroot/moth/w3af/crawl/ajax/username-ajax.php,|mysql_select_db("w3af_test", $link);|,mysqli_()
