148,php,Mon Oct 30 11:48:32 2017,5,|$tb_names[$i]=mysql_tablename($result, $i);|,mysql_(),mysqli_()
ID,NAME,DATE,VERSION,LINE,OBSOLETE FUNCTION,ALTERNATIVE
149,php,Mon Oct 30 11:48:32 2017,5,|mysql_Result($result,$i,field)</span></a></dt>|,mysql_(),mysqli_()
ID,NAME,DATE,VERSION,LINE,OBSOLETE FUNCTION,ALTERNATIVE
150,php,Mon Oct 30 11:48:32 2017,5,mysql_connect() and mysql_pconnect(). (Georg)</li>,mysql_(),mysqli_()
ID,NAME,DATE,VERSION,LINE,OBSOLETE FUNCTION,ALTERNATIVE
151,php,Mon Oct 30 11:48:32 2017,5,|ereg(expr,arg[,regs])</span></a></dt>|,ereg,preg_match()
ID,NAME,DATE,VERSION,LINE,OBSOLETE FUNCTION,ALTERNATIVE
152,php,Mon Oct 30 11:48:32 2017,5,mysql_NumFields($result)</span></a></dt>,mysql_(),mysqli_()
ID,NAME,DATE,VERSION,LINE,OBSOLETE FUNCTION,ALTERNATIVE
153,php,Mon Oct 30 11:48:32 2017,5,mysql_insert_id()</span></a></dt>,mysql_(),mysqli_()
ID,NAME,DATE,VERSION,LINE,OBSOLETE FUNCTION,ALTERNATIVE
154,php,Mon Oct 30 11:48:32 2017,5,mysql_NumRows($result)</span></a></dt>,mysql_(),mysqli_()
ID,NAME,DATE,VERSION,LINE,OBSOLETE FUNCTION,ALTERNATIVE
155,php,Mon Oct 30 11:48:32 2017,5,mysql_close()</span></a></dt>,mysql_(),mysqli_()
ID,NAME,DATE,VERSION,LINE,OBSOLETE FUNCTION,ALTERNATIVE
156,php,Mon Oct 30 11:48:32 2017,5,|mysql_Listfields($database,$tablename)</span></a></dt>|,mysql_(),mysqli_()
ID,NAME,DATE,VERSION,LINE,OBSOLETE FUNCTION,ALTERNATIVE
157,php,Mon Oct 30 11:48:32 2017,5,$result = mysql_listtables("dbname");,mysql_(),mysqli_()
ID,NAME,DATE,VERSION,LINE,OBSOLETE FUNCTION,ALTERNATIVE
158,php,Mon Oct 30 11:48:32 2017,5,mysql_CreateDB($database)</span></a></dt>,mysql_(),mysqli_()
ID,NAME,DATE,VERSION,LINE,OBSOLETE FUNCTION,ALTERNATIVE
159,php,Mon Oct 30 11:48:32 2017,5,|mysql_FieldName($result,$i)</span></a></dt>|,mysql_(),mysqli_()
ID,NAME,DATE,VERSION,LINE,OBSOLETE FUNCTION,ALTERNATIVE
160,php,Mon Oct 30 11:48:32 2017,5,mysql_ListTables($database)</span></a></dt>,mysql_(),mysqli_()
ID,NAME,DATE,VERSION,LINE,OBSOLETE FUNCTION,ALTERNATIVE
161,php,Mon Oct 30 11:48:32 2017,5,|mysql_FieldType($result,$i)</span></a></dt>|,mysql_(),mysqli_()
ID,NAME,DATE,VERSION,LINE,OBSOLETE FUNCTION,ALTERNATIVE
162,php,Mon Oct 30 11:48:32 2017,5,|mysql_fieldflags, mysql_fieldlen, mysql_fieldname,|,mysql_(),mysqli_()
ID,NAME,DATE,VERSION,LINE,OBSOLETE FUNCTION,ALTERNATIVE
163,php,Mon Oct 30 11:48:32 2017,5,mysql_fieldtype. A result identifier is a positive integer.,mysql_(),mysqli_()
ID,NAME,DATE,VERSION,LINE,OBSOLETE FUNCTION,ALTERNATIVE
164,php,Mon Oct 30 11:48:32 2017,5,|mysql_connect($hostname [,username|,mysql_(),mysqli_()
ID,NAME,DATE,VERSION,LINE,OBSOLETE FUNCTION,ALTERNATIVE
165,php,Mon Oct 30 11:48:32 2017,5,mysql_affected_rows()</span></a></dt>,mysql_(),mysqli_()
ID,NAME,DATE,VERSION,LINE,OBSOLETE FUNCTION,ALTERNATIVE
166,php,Mon Oct 30 11:48:32 2017,5,|call_user_method('method', 'class'), and also array('class', 'method')|,call_user_method,call_user_func()
